### Fill Cross Sections for pi+ off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  404        1109      0.3042      0.6029       0.9071
  405        1135      0.3042      0.6007       0.9049
  406        1161      0.3042      0.5985       0.9027
  407        1189      0.3042      0.5962       0.9004
  408        1216      0.3042      0.5939       0.8981
  409        1245      0.3042      0.5915       0.8957
  410        1274      0.3042      0.5891       0.8933
  411        1303      0.3042      0.5866       0.8908
  412        1334      0.3042      0.5841       0.8883
  413        1365      0.3042      0.5815       0.8857
  414        1396      0.3042      0.5788        0.883
  415        1429      0.3042      0.5761       0.8803
  416        1462      0.3042      0.5733       0.8775
  417        1496      0.3042      0.5704       0.8746
  418        1531      0.3042      0.5675       0.8717
  419        1567      0.3042      0.5645       0.8687
  420        1603      0.3042      0.5615       0.8656
  421        1641      0.3042      0.5583       0.8625
  422        1679      0.3042      0.5551       0.8593
  423        1718      0.3041      0.5519        0.856
  424        1758      0.3041      0.5485       0.8527
  425        1799      0.3041      0.5451       0.8492
  426        1841      0.3041      0.5416       0.8457
  427        1884      0.3041       0.538       0.8421
  428        1928      0.3041      0.5343       0.8384
  429        1972      0.3041      0.5305       0.8347
  430        2018      0.3035      0.5478       0.8512
  431        2065      0.3018      0.5467       0.8485
  432        2113      0.3002      0.5456       0.8457
  433        2163      0.2984      0.5444       0.8428
  434        2213      0.2967      0.5432       0.8399
  435        2265      0.2949       0.542       0.8369
  436        2317       0.293      0.5408       0.8339
  437        2371      0.2912      0.5396       0.8307
  438        2427      0.2892      0.5383       0.8275
  439        2483      0.2872       0.537       0.8242
  440        2541      0.2852      0.5356       0.8209
  441        2600      0.2832      0.5343       0.8174
  442        2661       0.281      0.5329       0.8139
  443        2723      0.2789      0.5314       0.8103
  444        2786      0.2767      0.5299       0.8066
  445        2851      0.2744      0.5284       0.8028
  446        2917      0.2721      0.5269        0.799
  447        2985      0.2697      0.5253        0.795
  448        3055      0.2681      0.5245       0.7926
  449        3126      0.2667      0.5238       0.7905
  450        3199      0.2652      0.5232       0.7884
  451        3273      0.2638      0.5225       0.7862
  452        3350      0.2622      0.5218        0.784
  453        3428      0.2607      0.5211       0.7818
  454        3508      0.2591      0.5204       0.7795
  455        3589      0.2575      0.5196       0.7771
  456        3673      0.2558      0.5188       0.7747
  457        3758      0.2541      0.5181       0.7722
  458        3846      0.2524      0.5173       0.7696
  459        3936      0.2506      0.5165        0.767
  460        4027      0.2488      0.5156       0.7644
  461        4121      0.2469      0.5148       0.7617
  462        4217       0.245      0.5139       0.7589
  463        4315       0.243       0.513        0.756
  464        4416       0.241      0.5121       0.7531
  465        4519       0.239      0.5111       0.7501
  466        4624      0.2369      0.5102       0.7471
  467        4732      0.2348      0.5092        0.744
  468        4842      0.2326      0.5082       0.7408
  469        4955      0.2303      0.5072       0.7375
  470        5070      0.2293      0.5064       0.7357
  471        5188      0.2289      0.5058       0.7348
  472        5309      0.2286      0.5052       0.7339
  473        5433      0.2283      0.5046        0.733
  474        5559       0.228       0.504        0.732
  475        5689      0.2276      0.5034        0.731
  476        5821      0.2273      0.5028       0.7301
  477        5957       0.227      0.5021        0.729
  478        6095      0.2266      0.5014        0.728
  479        6237      0.2262      0.5007       0.7269
  480        6383      0.2259         0.5       0.7259
  481        6531      0.2255      0.4993       0.7248
  482        6683      0.2251      0.4985       0.7236
  483        6839      0.2247      0.4978       0.7225
  484        6998      0.2243       0.497       0.7213
  485        7161      0.2238      0.4962         0.72
  486        7328      0.2234      0.4954       0.7188
  487        7499       0.223      0.4946       0.7175
  488        7674      0.2225      0.4937       0.7162
  489        7852       0.222      0.4928       0.7149
  490        8035      0.2216      0.4919       0.7135
  491        8222      0.2211       0.491       0.7121
  492        8414      0.2206      0.4901       0.7107
  493        8610      0.2201      0.4891       0.7092
  494        8810      0.2196      0.4882       0.7077
  495        9016       0.219      0.4872       0.7062
  496        9226      0.2185      0.4861       0.7046
  497        9441      0.2179      0.4851        0.703
  498        9661      0.2174       0.484       0.7014
  499        9886      0.2168      0.4829       0.6997
  500   1.012e+04      0.2164      0.4822       0.6986
  501   1.035e+04      0.2163      0.4818       0.6981
  502   1.059e+04      0.2162      0.4815       0.6977
  503   1.084e+04      0.2161      0.4811       0.6972
  504   1.109e+04      0.2159      0.4807       0.6967
  505   1.135e+04      0.2158      0.4803       0.6962
