### Fill Cross Sections for kaon+ off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  366       462.4      0.3333      0.3502       0.6834
  367       473.2      0.3326      0.3545       0.6871
  368       484.2      0.3319      0.3589       0.6908
  369       495.5      0.3312      0.3633       0.6945
  370         507      0.3305      0.3677       0.6982
  371       518.8      0.3298      0.3722       0.7019
  372       530.9       0.329      0.3766       0.7056
  373       543.3      0.3276       0.381       0.7086
  374       555.9      0.3261      0.3854       0.7115
  375       568.9      0.3245      0.3898       0.7142
  376       582.1      0.3229       0.394       0.7169
  377       595.7      0.3212      0.3982       0.7194
  378       609.5      0.3196      0.4022       0.7218
  379       623.7      0.3177      0.4062       0.7239
  380       638.3      0.3151        0.41       0.7251
  381       653.1      0.3124      0.4136        0.726
  382       668.3      0.3097      0.4171       0.7268
  383       683.9      0.3069      0.4203       0.7272
  384       699.8      0.3041      0.4234       0.7274
  385       716.1      0.3023      0.4262       0.7285
  386       732.8      0.3038      0.4288       0.7326
  387       749.9      0.3053      0.4312       0.7365
  388       767.4      0.3068      0.4333       0.7402
  389       785.2      0.3084      0.4353       0.7437
  390       803.5        0.31       0.437       0.7469
  391       822.2      0.3015      0.4384       0.7398
  392       841.4      0.2926      0.4396       0.7321
  393         861      0.2835      0.4406       0.7241
  394         881      0.2742      0.4413       0.7155
  395       901.6      0.2662      0.4418        0.708
  396       922.6      0.2632      0.4422       0.7054
  397       944.1      0.2601      0.4424       0.7025
  398       966.1      0.2569      0.4423       0.6993
  399       988.6      0.2537      0.4422       0.6959
  400        1012      0.2498      0.4419       0.6918
  401        1035      0.2458      0.4415       0.6873
  402        1059      0.2417      0.4409       0.6826
  403        1084      0.2375      0.4403       0.6778
  404        1109      0.2345      0.4395       0.6741
  405        1135      0.2316      0.4387       0.6704
  406        1161      0.2286      0.4379       0.6665
  407        1189      0.2255      0.4369       0.6624
  408        1216       0.222       0.436       0.6579
  409        1245      0.2184       0.435       0.6533
  410        1274      0.2147      0.4339       0.6486
  411        1303       0.211      0.4329       0.6439
  412        1334      0.2071      0.4318        0.639
  413        1365      0.2032      0.4308        0.634
  414        1396      0.2002      0.4297       0.6299
  415        1429      0.1975      0.4286       0.6261
  416        1462      0.1947      0.4275       0.6222
  417        1496      0.1919      0.4265       0.6183
  418        1531      0.1889      0.4254       0.6144
  419        1567       0.186      0.4244       0.6104
  420        1603      0.1829      0.4234       0.6063
  421        1641      0.1798      0.4224       0.6022
  422        1679      0.1767      0.4214        0.598
  423        1718      0.1734      0.4204       0.5938
  424        1758      0.1701      0.4195       0.5896
  425        1799      0.1677      0.4185       0.5863
  426        1841      0.1654      0.4176       0.5831
  427        1884      0.1631      0.4168       0.5798
  428        1928      0.1607      0.4159       0.5765
  429        1972      0.1582      0.4151       0.5732
  430        2018      0.1557      0.4142       0.5699
  431        2065      0.1531      0.4134       0.5665
  432        2113      0.1504      0.4127       0.5631
  433        2163      0.1479      0.4119       0.5598
  434        2213      0.1458      0.4112        0.557
  435        2265      0.1437      0.4105       0.5542
  436        2317      0.1415      0.4098       0.5513
  437        2371      0.1396      0.4092       0.5488
  438        2427      0.1381      0.4085       0.5466
  439        2483      0.1365      0.4079       0.5444
  440        2541      0.1349      0.4073       0.5423
  441        2600      0.1333      0.4067       0.5401
  442        2661      0.1317      0.4062       0.5379
  443        2723        0.13      0.4057       0.5356
  444        2786      0.1283      0.4051       0.5334
  445        2851      0.1265      0.4046       0.5311
  446        2917      0.1247      0.4042       0.5288
  447        2985      0.1228      0.4037       0.5265
