### Fill Cross Sections for pi- off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  321       164.1      0.6688      0.9387        1.608
  322       167.9       0.665      0.9291        1.594
  323       171.8      0.6611      0.9194        1.581
  324       175.8      0.6572      0.9093        1.567
  325       179.9      0.6531      0.8991        1.552
  326       184.1       0.651      0.8893         1.54
  327       188.4      0.6488      0.8792        1.528
  328       192.8      0.6467       0.869        1.516
  329       197.2      0.6444      0.8585        1.503
  330       201.8      0.6422      0.8474         1.49
  331       206.5      0.6398      0.8356        1.475
  332       211.3      0.6374      0.8235        1.461
  333       216.3      0.6349      0.8112        1.446
  334       221.3      0.6328      0.7997        1.432
  335       226.5       0.632       0.791        1.423
  336       231.7       0.631      0.7822        1.413
  337       237.1      0.6301      0.7732        1.403
  338       242.7      0.6292       0.764        1.393
  339       248.3      0.6282      0.7545        1.383
  340       254.1      0.6225      0.7459        1.368
  341         260      0.6146      0.7375        1.352
  342       266.1      0.6065      0.7289        1.335
  343       272.3      0.5982      0.7201        1.318
  344       278.6      0.5898      0.7111        1.301
  345       285.1      0.5811      0.7019        1.283
  346       291.7      0.5723      0.6924        1.265
  347       298.5      0.5632      0.6828        1.246
  348       305.5      0.5508       0.677        1.228
  349       312.6      0.5374      0.6721         1.21
  350       319.9      0.5236      0.6672        1.191
  351       327.3      0.5095      0.6621        1.172
  352         335      0.4951      0.6569        1.152
  353       342.8      0.4803      0.6516        1.132
  354       350.8      0.4656      0.6463        1.112
  355       358.9      0.4545      0.6423        1.097
  356       367.3      0.4432      0.6382        1.081
  357       375.8      0.4316       0.634        1.066
  358       384.6      0.4198      0.6297        1.049
  359       393.6      0.4076      0.6254        1.033
  360       402.7      0.3966      0.6211        1.018
  361       412.1      0.3888      0.6172        1.006
  362       421.7      0.3807      0.6132       0.9939
  363       431.5      0.3725       0.609       0.9816
  364       441.6      0.3641      0.6048        0.969
  365       451.9      0.3562      0.6011       0.9573
  366       462.4      0.3514      0.5998       0.9511
  367       473.2      0.3464      0.5984       0.9448
  368       484.2      0.3413       0.597       0.9383
  369       495.5      0.3361      0.5956       0.9317
  370         507      0.3326      0.5951       0.9277
  371       518.8      0.3303      0.5952       0.9255
  372       530.9      0.3279      0.5954       0.9233
  373       543.3      0.3254      0.5956        0.921
  374       555.9      0.3229      0.5957       0.9186
  375       568.9      0.3203      0.5959       0.9162
  376       582.1      0.3176      0.5961       0.9137
  377       595.7      0.3149      0.5963       0.9112
  378       609.5      0.3127      0.5968       0.9095
  379       623.7      0.3106      0.5975       0.9081
  380       638.3      0.3084      0.5982       0.9066
  381       653.1      0.3062       0.599       0.9052
  382       668.3      0.3039      0.5997       0.9037
  383       683.9      0.3016      0.6005       0.9021
  384       699.8      0.2993      0.6013       0.9006
  385       716.1      0.2992      0.6022       0.9014
  386       732.8      0.2992      0.6031       0.9023
  387       749.9      0.2992       0.604       0.9032
  388       767.4      0.2992      0.6049       0.9042
  389       785.2      0.2993      0.6059       0.9051
  390       803.5      0.2994      0.6068       0.9062
  391       822.2      0.3004      0.6075       0.9078
  392       841.4      0.3013      0.6082       0.9095
  393         861      0.3023      0.6089       0.9112
  394         881      0.3033      0.6096       0.9129
  395       901.6      0.3042      0.6104       0.9147
  396       922.6      0.3047      0.6115       0.9162
  397       944.1      0.3051      0.6126       0.9177
  398       966.1      0.3055      0.6138       0.9193
  399       988.6       0.306      0.6149       0.9209
  400        1012      0.3062      0.6147       0.9209
  401        1035      0.3062      0.6131       0.9193
  402        1059      0.3061      0.6115       0.9177
  403        1084      0.3061      0.6099        0.916
  404        1109      0.3061      0.6082       0.9142
  405        1135      0.3061      0.6064       0.9125
  406        1161       0.306      0.6046       0.9107
  407        1189       0.306      0.6028       0.9088
  408        1216       0.306       0.601       0.9069
  409        1245      0.3059       0.599        0.905
  410        1274      0.3059      0.5971        0.903
  411        1303      0.3059      0.5951        0.901
  412        1334      0.3058      0.5931       0.8989
  413        1365      0.3058       0.591       0.8968
  414        1396      0.3058      0.5888       0.8946
  415        1429      0.3057      0.5866       0.8924
  416        1462      0.3057      0.5844       0.8901
  417        1496      0.3057      0.5821       0.8878
  418        1531      0.3056      0.5798       0.8854
  419        1567      0.3056      0.5774       0.8829
  420        1603      0.3055      0.5749       0.8804
  421        1641      0.3055      0.5724       0.8779
  422        1679      0.3055      0.5698       0.8753
  423        1718      0.3054      0.5672       0.8726
  424        1758      0.3054      0.5645       0.8699
  425        1799      0.3053      0.5617       0.8671
  426        1841      0.3053      0.5589       0.8642
  427        1884      0.3052       0.556       0.8613
  428        1928      0.3052      0.5531       0.8583
  429        1972      0.3051        0.55       0.8552
  430        2018      0.3045      0.5478       0.8522
  431        2065      0.3028      0.5467       0.8494
  432        2113       0.301      0.5456       0.8466
  433        2163      0.2993      0.5444       0.8437
  434        2213      0.2975      0.5432       0.8407
  435        2265      0.2956       0.542       0.8377
  436        2317      0.2937      0.5408       0.8345
  437        2371      0.2918      0.5396       0.8313
  438        2427      0.2898      0.5383       0.8281
  439        2483      0.2878       0.537       0.8247
  440        2541      0.2857      0.5356       0.8213
  441        2600      0.2836      0.5343       0.8178
  442        2661      0.2814      0.5329       0.8142
  443        2723      0.2792      0.5314       0.8106
  444        2786      0.2769      0.5299       0.8068
  445        2851      0.2745      0.5284        0.803
  446        2917      0.2722      0.5269       0.7991
  447        2985      0.2697      0.5253        0.795
